,Init Mode,Learning Rate,Batch Size,# of Epochs,Accuracy
53,zero,0.9149,256,500,64.0
60,zero,0.45595,8,100,64.0
65,zero,0.45595,16,500,64.0
67,zero,0.45595,16,2000,64.0
68,zero,0.45595,32,100,64.0
71,zero,0.45595,32,2000,64.0
99,zero,0.21651,32,2000,64.0
100,zero,0.21651,64,100,64.0
114,zero,0.41642,4,1000,64.0
116,zero,0.41642,8,100,64.0
119,zero,0.41642,8,2000,64.0
120,zero,0.41642,16,100,64.0
121,zero,0.41642,16,500,64.0
123,zero,0.41642,16,2000,64.0
124,zero,0.41642,32,100,64.0
132,zero,0.41642,128,100,64.0
141,zero,0.6437900000000001,4,500,64.0
142,zero,0.6437900000000001,4,1000,64.0
148,zero,0.6437900000000001,16,100,64.0
150,zero,0.6437900000000001,16,1000,64.0
165,zero,0.6437900000000001,256,500,64.0
169,zero,0.7853300000000001,4,500,64.0
178,zero,0.7853300000000001,16,1000,64.0
192,zero,0.7853300000000001,256,100,64.0
193,zero,0.7853300000000001,256,500,64.0
197,zero,0.85272,4,500,64.0
220,zero,0.85272,256,100,64.0
252,zero,0.15482,4,100,64.0
255,zero,0.15482,4,2000,64.0
263,zero,0.15482,16,2000,64.0
268,zero,0.15482,64,100,64.0
279,zero,0.15482,256,2000,64.0
291,xavier,0.9147400000000001,16,2000,64.0
292,xavier,0.9147400000000001,32,100,64.0
319,xavier,0.9149,16,2000,64.0
320,xavier,0.9149,32,100,64.0
345,xavier,0.45595,16,500,64.0
347,xavier,0.45595,16,2000,64.0
351,xavier,0.45595,32,2000,64.0
361,xavier,0.45595,256,500,64.0
364,xavier,0.21651,4,100,64.0
368,xavier,0.21651,8,100,64.0
379,xavier,0.21651,32,2000,64.0
384,xavier,0.21651,128,100,64.0
391,xavier,0.21651,256,2000,64.0
392,xavier,0.41642,4,100,64.0
394,xavier,0.41642,4,1000,64.0
399,xavier,0.41642,8,2000,64.0
401,xavier,0.41642,16,500,64.0
403,xavier,0.41642,16,2000,64.0
417,xavier,0.41642,256,500,64.0
418,xavier,0.41642,256,1000,64.0
421,xavier,0.6437900000000001,4,500,64.0
422,xavier,0.6437900000000001,4,1000,64.0
430,xavier,0.6437900000000001,16,1000,64.0
449,xavier,0.7853300000000001,4,500,64.0
468,xavier,0.7853300000000001,128,100,64.0
477,xavier,0.85272,4,500,64.0
496,xavier,0.85272,128,100,64.0
516,xavier,0.013420000000000001,32,100,64.0
522,xavier,0.013420000000000001,64,1000,64.0
525,xavier,0.013420000000000001,128,500,64.0
529,xavier,0.013420000000000001,256,500,64.0
530,xavier,0.013420000000000001,256,1000,64.0
532,xavier,0.15482,4,100,64.0
535,xavier,0.15482,4,2000,64.0
540,xavier,0.15482,16,100,64.0
543,xavier,0.15482,16,2000,64.0
558,xavier,0.15482,256,1000,64.0
561,gauss,0.9147400000000001,4,500,64.0
571,gauss,0.9147400000000001,16,2000,64.0
578,gauss,0.9147400000000001,64,1000,64.0
585,gauss,0.9147400000000001,256,500,64.0
589,gauss,0.9149,4,500,64.0
599,gauss,0.9149,16,2000,64.0
606,gauss,0.9149,64,1000,64.0
613,gauss,0.9149,256,500,64.0
625,gauss,0.45595,16,500,64.0
627,gauss,0.45595,16,2000,64.0
628,gauss,0.45595,32,100,64.0
631,gauss,0.45595,32,2000,64.0
640,gauss,0.45595,256,100,64.0
659,gauss,0.21651,32,2000,64.0
674,gauss,0.41642,4,1000,64.0
679,gauss,0.41642,8,2000,64.0
681,gauss,0.41642,16,500,64.0
683,gauss,0.41642,16,2000,64.0
684,gauss,0.41642,32,100,64.0
